27970
PING 10.0.0.5 (10.0.0.5) 56(84) bytes of data.
64 bytes from 10.0.0.5: icmp_seq=94 ttl=64 time=49.2 ms
64 bytes from 10.0.0.5: icmp_seq=95 ttl=64 time=26.5 ms
64 bytes from 10.0.0.5: icmp_seq=96 ttl=64 time=5.11 ms
64 bytes from 10.0.0.5: icmp_seq=97 ttl=64 time=30.8 ms
64 bytes from 10.0.0.5: icmp_seq=98 ttl=64 time=8.51 ms
64 bytes from 10.0.0.5: icmp_seq=99 ttl=64 time=38.3 ms
64 bytes from 10.0.0.5: icmp_seq=100 ttl=64 time=13.1 ms

--- 10.0.0.5 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99175ms
rtt min/avg/max/mdev = 3.990/27.644/51.938/14.612 ms
